Datetime,Open,High,Low,Close,Volume,SMA20,SMA50,SMA100,SMA150,SMA200,EMA20,EMA12,EMA26,RSI,MACD,MACD_Signal,MACD_Hist,ATR,STOCH_%K,STOCH_%D,VWAP
2024-11-11 09:30:00,225.05499267578125,225.6999969482422,224.85000610351562,225.0399932861328,1633576,,,,,,,,,,,,,,,,225.1966654459635
2024-11-11 09:31:00,225.04010009765625,225.3699951171875,224.97000122070312,225.00999450683594,244722,,,,,,,,,,,,,,,,225.18624206900236
2024-11-11 09:32:00,225.02000427246094,225.16000366210938,224.64999389648438,224.77000427246094,213992,,,,,,,,,,,,,,,,225.15287524976623
2024-11-11 09:33:00,224.8000030517578,224.83999633789062,224.1300048828125,224.2100067138672,339380,,,,,,,,,,,,,,,,225.0468689092729
2024-11-11 09:34:00,224.1999969482422,224.38999938964844,223.83999633789062,223.85009765625,362967,,,,,,,,,,,,,,,,224.91436925046895
2024-11-11 09:35:00,223.8699951171875,224.3397979736328,223.75,223.86000061035156,352739,,,,,,,,,,,,,,,,224.81001681186532
2024-11-11 09:36:00,223.86000061035156,224.10000610351562,223.7449951171875,223.77999877929688,239013,,,,,,,,,,,,,,,,224.74402286573147
2024-11-11 09:37:00,223.78500366210938,224.1699981689453,223.77999877929688,223.99000549316406,194530,,,,,,,,,,,,,,,,224.70251809844635
2024-11-11 09:38:00,224.0,224.30999755859375,223.97000122070312,224.13999938964844,163787,,,,,,,,,,,,,,,,224.67791449758747
2024-11-11 09:39:00,224.08999633789062,224.3699951171875,224.07000732421875,224.13999938964844,166623,,,,,,,,,,,,,,,,224.65727131834254
2024-11-11 09:40:00,224.1553955078125,224.3300018310547,224.0800018310547,224.14999389648438,186617,,,,,,,,,,,,,,,,224.63584034288527
2024-11-11 09:41:00,224.13040161132812,224.25999450683594,223.92010498046875,223.99000549316406,177796,,,,,,,224.2441749572754,,,,,,,,,224.6117583142609
2024-11-11 09:42:00,223.9803924560547,224.0500030517578,223.86000061035156,223.94000244140625,172075,,,,,,,224.1973791856032,,,,,,,,,224.58615660631318
2024-11-11 09:43:00,223.94500732421875,224.08999633789062,223.92999267578125,224.03280639648438,132679,,,,,,,224.17206029496955,,,,,,,,,224.56968770753866
2024-11-11 09:44:00,224.02000427246094,224.32000732421875,223.99000549316406,224.19000244140625,232255,,,,,,,224.1748206251906,,39.041059682730804,,,,0.35347012232656105,,,224.550238857902
2024-11-11 09:45:00,224.19000244140625,224.1999969482422,223.9600067138672,224.1649932861328,55571,,,,,,,224.17330872687398,,38.199088420281,,,,0.34138962144851986,23.929509012761397,,224.54519457602512
2024-11-11 09:46:00,224.55999755859375,224.6300048828125,224.2100067138672,224.38999938964844,924739,,,,,,,224.2066457519162,,48.880776244696136,,,,0.35410444343719016,38.657056786908235,,224.52361422143474
2024-11-11 09:47:00,224.3699951171875,224.49000549316406,224.17999267578125,224.2899932861328,234631,,,,,,,224.21946844948798,,45.145868304799805,,,,0.34970767550773785,50.05571291257137,37.54742623741367,224.51568832265116
2024-11-11 09:48:00,224.27999877929688,224.27999877929688,223.9398956298828,223.97999572753906,177459,,,,,,,224.18262649226506,,35.970816013971664,,,,0.34974549405509414,49.01297228674479,45.9085806620748,224.5028458579324
2024-11-11 09:49:00,223.97999572753906,224.15370178222656,223.9199981689453,223.9199981689453,102368,224.19189453125,,,,,224.19189453125,224.14222213483126,,34.50903169265603,,,,0.338772606338433,35.969540229885055,45.01274180973374,224.4946508193235
2024-11-11 09:50:00,223.92999267578125,224.0,223.7100067138672,223.7100067138672,159812,224.12539520263672,,,,,224.14600045340404,224.07572745468292,,29.925253673783516,,,,0.3342643291224236,15.442528735632186,33.47501375075401,224.47765038930063
2024-11-11 09:51:00,223.72999572753906,223.8249969482422,223.69500732421875,223.72000122070312,223556,224.06089553833007,,,,,224.1054290979087,224.02100034176294,,30.39911362412445,,,,0.3157730668075613,7.4824296400008095,19.631499535172686,224.4532268132107
2024-11-11 09:52:00,223.72000122070312,223.72000122070312,223.41000366210938,223.66000366210938,179367,224.0053955078125,,,,,224.0630076278326,223.965462391047,,29.12583415855866,,,,0.31526005381398453,7.721644588021209,10.21553432121807,224.43086401368205
2024-11-11 09:53:00,223.65499877929688,223.6999969482422,223.46009826660156,223.47000122070312,145694,223.9683952331543,,,,,224.00653082715363,223.88923759560947,,25.485316571844557,,,,0.30868049927895025,9.360920505006808,8.188331577676278,224.41243411488827
2024-11-11 09:54:00,223.46009826660156,223.52999877929688,223.3249969482422,223.41000366210938,135437,223.94639053344727,,,,,223.94971871619703,223.81550929814793,,24.44622081386195,,,,0.29977013452055745,10.64116511834995,9.241243403792659,224.39367039311412
2024-11-11 09:55:00,223.42750549316406,223.44500732421875,223.2899932861328,223.33009338378906,167832,223.91989517211914,,,,,223.89070677977722,223.7408299267081,224.04376924954929,23.09555563868224,-0.3029393228411834,,,0.287507463312771,4.808077094398688,8.270054239251818,224.36985406535544
2024-11-11 09:56:00,223.33999633789062,223.4199981689453,223.0,223.1999053955078,238357,223.8908905029297,,,,,223.82491617175157,223.65761076806191,223.98126081591658,21.05458989701733,-0.3236500478546702,,,0.298583959924769,7.256833829251626,7.568692014000091,224.3331674883112
2024-11-11 09:57:00,223.19720458984375,223.22999572753906,222.77000427246094,222.77000427246094,195876,223.82989044189452,,,,,223.72444837181914,223.52105592258485,223.89153810899393,16.020105329334154,-0.3704821864090775,,,0.3119156664139071,5.085538886252503,5.716816603300941,224.2975507762691
2024-11-11 09:58:00,222.78500366210938,223.0,222.78500366210938,222.97169494628906,143774,223.77147521972657,,,,,223.6527575693877,223.43653884930856,223.8234015784232,25.072275164334993,-0.3868627291146254,,,0.30522409147352597,7.702559670551058,6.681644128685066,224.2724515510984
2024-11-11 09:59:00,222.97000122070312,222.99989318847656,222.85000610351562,222.89500427246094,146851,223.7092254638672,,,,,223.580590588728,223.35322583748587,223.75463140761116,24.012400837602716,-0.40140557012529143,,,0.29266430299343504,5.854669652794299,6.214256069865956,224.247669604351
2024-11-11 10:00:00,222.89999389648438,223.05990600585938,222.89999389648438,222.9199981689453,166337,223.64772567749023,,,,,223.51767702493916,223.28657542694117,223.69280672326553,25.123322130289683,-0.40623129632436417,,,0.28243051726722923,8.761526048765509,7.439585124036959,224.22158166254195
2024-11-11 10:01:00,222.9149932861328,223.1197052001953,222.8636016845703,223.02000427246094,150326,223.59922561645507,,,,,223.47027961994124,223.24556448009807,223.64296950468741,29.560761603654434,-0.39740502458934657,,,0.28033985274363427,10.665782903509,8.427326201689604,224.19963747922588
2024-11-11 10:02:00,223.02999877929688,223.08999633789062,222.94000244140625,222.96499633789062,123325,223.55047531127929,,,,,223.4221574026031,223.2024001505277,223.59274927010986,28.55822419014559,-0.39034911958216867,,,0.27007087126885965,13.123007626418316,10.850105526230942,224.1821752050164
2024-11-11 10:03:00,222.96499633789062,223.0876007080078,222.88009643554688,223.00990295410156,127238,223.49933013916015,,,,,223.38289507417437,223.17278519723138,223.54957546892405,30.62668406173645,-0.3767902716926699,-0.3729017298370441,-0.00388854185562576,0.2651777016975494,16.717493098807548,13.502094542911623,224.1645974141196
2024-11-11 10:04:00,223.00869750976562,223.27349853515625,222.97999572753906,223.2100067138672,125009,223.4503303527832,,,,,223.36642951604986,223.17851158440612,223.5244222278087,39.08952957529733,-0.3459106434025898,-0.3675035125501533,0.021592869147563476,0.2673780184117005,25.100936590118675,18.31381243844818,224.15014380304711
2024-11-11 10:05:00,223.2100067138672,223.25,223.10000610351562,223.14500427246094,144315,223.39933090209962,,,,,223.3453413976128,223.1733566133376,223.49631719407927,37.48962472261657,-0.32296058074166467,-0.35859492618845556,0.035634345446790894,0.2583161832423876,33.56150623821921,25.12664530904848,224.13413473512676
2024-11-11 10:06:00,223.14500427246094,223.2449951171875,223.05499267578125,223.2100067138672,116019,223.34033126831054,,,,,223.3324523801132,223.17899509034217,223.47510901035986,40.12861447436533,-0.29611392001768877,-0.3460987249543022,0.04998480493661345,0.2530727422097355,42.83098539762014,33.83114274198601,224.12170141440495
2024-11-11 10:07:00,223.18499755859375,223.25999450683594,223.13999938964844,223.19000244140625,105821,223.28533172607422,,,,,223.31888571928397,223.1806885289674,223.4539900052522,39.57490336565071,-0.27330147628478585,-0.33153927522039894,0.058237798935613094,0.242912451576764,47.34986349995602,41.247451711931795,224.1109473789633
2024-11-11 10:08:00,223.19500732421875,223.26499938964844,223.13999938964844,223.1999969482422,94512,223.24633178710937,,,,,223.30756297918475,223.18365905500968,223.43517570473293,40.0202081054509,-0.25151664972324284,-0.31553475012096777,0.06401810039772493,0.2339540762169964,55.42603670426678,48.53562853394765,224.1016032136707
2024-11-11 10:09:00,223.27000427246094,223.3800048828125,223.24000549316406,223.27999877929688,129817,223.21433181762694,,,,,223.30493781729066,223.19848055105388,223.4236811176636,43.60298157589864,-0.22520056660971477,-0.2974679134187172,0.07226734680900243,0.22987407731875958,65.80902571453537,56.19497530625272,224.09044596840303
2024-11-11 10:10:00,223.27999877929688,223.43829345703125,223.27999877929688,223.38499450683594,87735,223.19808120727538,,,,,223.312562263914,223.22717500578958,223.42081544278747,47.993617481191116,-0.1936404369978959,-0.27670241813455293,0.08306198113665703,0.22448311302681834,78.06277621169168,66.43261287683127,224.08371120172123
2024-11-11 10:11:00,223.38499450683594,223.46499633789062,223.35000610351562,223.46499633789062,140534,223.18533096313476,,,,,223.3270797947689,223.2637629030359,223.424088101684,51.1164385625173,-0.16032519864808137,-0.25342697423725863,0.09310177558917726,0.21626863588206652,90.16199933562262,78.01126708728322,224.0740475130702
2024-11-11 10:12:00,223.4499969482422,223.49000549316406,223.24000549316406,223.26499938964844,98596,223.16558074951172,,,,,223.3211673752336,223.26395313174555,223.41230375264433,44.00298190798512,-0.14835062089878193,-0.2324117035695633,0.08406108267078138,0.21879019841484543,85.6224435633025,84.61573970353894,224.06646536821486
2024-11-11 10:13:00,223.27000427246094,223.2899932861328,223.1199951171875,223.28460693359375,96628,223.15631103515625,,,,,223.31768542841075,223.2671306397222,223.40284472901095,44.81382147867682,-0.13571408928874007,-0.21307218071339867,0.0773580914246586,0.21515487714859907,77.35088098304392,84.37844129398968,224.0581909489223
2024-11-11 10:14:00,223.28500366210938,223.3300018310547,223.02999877929688,223.08990478515625,94796,223.1403060913086,,,,,223.29599203381508,223.23986512363513,223.37966399242913,38.80499220540287,-0.13979886879400283,-0.1984175183295195,0.05861864953551668,0.2214572161765021,56.05999787544056,73.01110747392899,224.0494458871925
2024-11-11 10:15:00,223.0800018310547,223.08990478515625,222.92269897460938,222.92999267578125,97742,223.12030105590821,,,,,223.26113495209756,223.19219243934992,223.34635500601078,34.690775315450445,-0.15416256666085815,-0.18956652799578724,0.035403961334929096,0.21743898802568373,37.17272066809806,56.861199842194175,224.0389413086341
2024-11-11 10:18:00,223.1649932861328,223.2100067138672,223.15789794921875,223.2100067138672,207061,223.12080612182618,,,,,223.25626559607562,223.19493309696796,223.33625513251866,45.572570388442315,-0.14132203555070078,-0.17991762950676998,0.03859559395606921,0.22206152658010314,32.79999944891677,42.01090599748513,224.0216764260105
2024-11-11 10:19:00,223.2050018310547,223.27999877929688,223.17999267578125,223.27499389648438,56870,223.14605560302735,,,,,223.2580492437336,223.2072501430474,223.3317172631828,47.74856023641591,-0.12446712013542083,-0.16882752763250017,0.04436040749707934,0.21306703577955458,41.457406669594725,37.14337559553652,224.01734891332842
2024-11-11 10:20:00,223.27499389648438,223.35000610351562,223.1199951171875,223.13999938964844,86048,223.15447082519532,,,,,223.2468064004874,223.1969038732937,223.31751593921732,43.82869902705878,-0.12061206592360918,-0.15918443529072196,0.03857236936711278,0.21431284733539177,51.49839001898448,41.91859871249866,224.01054373224068
2024-11-11 10:21:00,223.16000366210938,223.19000244140625,222.90499877929688,222.9532928466797,116062,223.15738525390626,223.6024462890625,,,,223.2188527286962,223.15942525381462,223.29053645088118,39.053431240626054,-0.13111119706655927,-0.15356978764588944,0.022458590579330168,0.2194995452990299,36.21958498424141,43.05846055760687,223.99945536219457
2024-11-11 10:22:00,222.9550018310547,223.05999755859375,222.94000244140625,222.94500732421875,96405,223.15863571166992,223.56054656982423,,,,223.19277221398406,223.12643788003064,223.26494170075802,38.85113495616327,-0.13850382072737943,-0.15055659426218745,0.01205277353480802,0.21221290464151418,17.799390544171683,35.17245518246586,223.99011531910298
2024-11-11 10:23:00,222.94000244140625,223.14999389648438,222.82000732421875,223.0800018310547,130901,223.1616355895996,223.5219467163086,,,,223.1820321775146,223.11929387249586,223.25124245115038,43.94582272232054,-0.1319485786545158,-0.14683499114065313,0.014886412486137313,0.22082188658128654,17.96651557827543,23.995163702229508,223.97813494976586
2024-11-11 10:24:00,223.05999755859375,223.1699981689453,223.02999877929688,223.10760498046875,67656,223.16876602172852,223.48869873046874,,,,223.17494387303404,223.11749558141477,223.24060263850728,44.95570033722049,-0.12310705709251124,-0.14208940433102477,0.018982347238513525,0.21492379407504894,29.52312865878606,21.76301159374439,223.97260051297695
2024-11-11 10:25:00,223.11000061035156,223.1300048828125,222.9600067138672,222.96470642089844,75510,223.16650619506837,223.46379272460936,,,,223.15492125854493,223.09398955671998,223.22016588164738,40.852409179310406,-0.12617632492739972,-0.13890678845029977,0.012730463522900054,0.2116503722110673,34.442445360480384,27.31069653251396,223.96591514767601
2024-11-11 10:26:00,222.96499633789062,223.05499267578125,222.94000244140625,223.02000427246094,73145,223.15700607299806,223.4471908569336,,,,223.14207202177502,223.08260720529552,223.2053390957817,43.01979710060349,-0.12273189048619315,-0.13567180885747845,0.012939918371285303,0.20461750068957446,31.45748403895936,31.807686019408603,223.959438643326
2024-11-11 10:27:00,223.0050048828125,223.02000427246094,222.85000610351562,222.89999389648438,192331,223.1447555541992,223.42799072265626,,,,223.11901696222353,223.0545128500938,223.18272093287078,39.626077945340825,-0.12820808277697893,-0.13417906364137855,0.005970980864399622,0.20210198722975242,21.12854615986092,29.00949185310022,223.9413962483642
2024-11-11 10:28:00,222.9199981689453,222.92999267578125,222.83999633789062,222.85499572753906,78779,223.12700500488282,223.4094906616211,,,,223.09387208272975,223.0238179081623,223.15844499173508,38.40278357869831,-0.13462708357278075,-0.134268667627659,-0.00035841594512175945,0.19396619071992147,16.130100030838395,22.905376743219563,223.93384382975805
2024-11-11 10:29:00,222.85499572753906,222.8800048828125,222.7899932861328,222.80499267578125,106324,223.10775451660157,223.38579040527344,,,,223.06635975825844,222.990152487796,223.13226333870145,37.03460144846207,-0.1421108509054534,-0.13583710428321788,-0.00627374662223551,0.18643055819369317,7.072776288326637,14.777140826341986,223.9233453518236
2024-11-11 10:30:00,222.80999755859375,223.0157012939453,222.8000030517578,223.00999450683594,127400,223.09825439453124,223.36319030761717,,,,223.06099163907535,222.99320510610983,223.12320638819287,45.59281940895731,-0.13000128208304318,-0.13466993984318293,0.004668657760139749,0.18854991366146506,16.188344991959685,13.130407103708242,223.91233604508756
2024-11-11 10:31:00,223.0,223.00799560546875,222.88999938964844,222.9149932861328,88842,223.08000411987305,223.33869018554688,,,,223.0470870340332,222.98117251842106,223.10778319544767,42.69660406947503,-0.1266106770266049,-0.13305808727986734,0.006447410253262453,0.18359054891335785,21.428117308338546,14.896412862874959,223.90477089384717
2024-11-11 10:32:00,222.90499877929688,223.11000061035156,222.80999755859375,223.11000061035156,154965,223.06625442504884,223.31789031982422,,,,223.05307880320638,223.0009922248719,223.10794744840354,49.752544351126055,-0.10695522353162801,-0.1278375145302195,0.020882290998591485,0.19200433530867347,39.58293597812956,25.733132759475932,223.89281875588014
2024-11-11 10:33:00,223.10000610351562,223.18499755859375,223.0399932861328,223.15499877929688,106512,223.05075454711914,223.3011901855469,,,,223.06278546759597,223.02468554093727,223.11143273217343,51.24440280259663,-0.0867471912361566,-0.11961944987140691,0.03287225863525031,0.18861025136433165,48.213945124111056,36.40833280352639,223.88584853920148
2024-11-11 10:34:00,223.15499877929688,223.24000549316406,223.0500030517578,223.07000732421875,124040,223.04100494384767,223.28379028320313,,,,223.0634732634648,223.0316581229806,223.10836418343604,48.3259095973677,-0.07670606045545014,-0.11103677198821556,0.034330711532765415,0.1887107086622975,61.51485718613437,49.77057942945834,223.87781965160633
2024-11-11 10:35:00,223.07000732421875,223.24000549316406,223.02999877929688,223.24000549316406,85046,223.03877487182618,223.26793426513672,,,,223.0802858567695,223.06371156454728,223.11811539156403,53.9724654159865,-0.05440382701675617,-0.09971018299392367,0.045306355977167506,0.19024626074716836,75.80057147184866,61.843124594031366,223.87276818248182
2024-11-11 10:36:00,223.25999450683594,223.3975067138672,223.21499633789062,223.36000061035156,109266,223.05227966308593,223.25133422851562,,,,223.10692535711064,223.10929449467102,223.1360328151779,57.50249415620739,-0.026738320506893842,-0.08511581049651772,0.058377489989623874,0.18968884060723537,85.34998204374698,74.22180356724334,223.86778369722825
2024-11-11 10:37:00,223.35000610351562,223.49000549316406,223.3300018310547,223.4499969482422,95141,223.078279876709,223.2370343017578,,,,223.1395988419803,223.16171025675888,223.15928941762712,59.98144480097615,0.002420839131758612,-0.06760848057086245,0.07002931970262107,0.18755117512678185,96.03696183679256,85.7291717841294,223.86429513468792
2024-11-11 10:38:00,223.4550018310547,223.6999969482422,223.41000366210938,223.67999267578125,137994,223.10177917480468,223.22283416748047,,,,223.1910649213899,223.24144601353157,223.19786002934222,65.51730652640931,0.04358598418934889,-0.045369587618820185,0.08895557180816907,0.19492385942948376,95.30420755261132,92.23038381105027,223.86128256750504
2024-11-11 10:39:00,223.66000366210938,223.69000244140625,223.55459594726562,223.67999267578125,124264,223.12202911376954,223.21063415527342,,,,223.2376294694272,223.30891473080072,223.23357355870806,65.51730652640931,0.07534117209266356,-0.02122743567652344,0.09656860776918699,0.1906427526934815,96.62935584876197,95.99017507938862,223.85907741240837
2024-11-11 10:40:00,223.66000366210938,223.7100067138672,223.50999450683594,223.60009765625,87375,223.1450340270996,223.20303619384765,,,,223.27215024912462,223.35371210394675,223.26072349185932,62.058740347123326,0.09298861208742437,0.0016157738762661196,0.09137283821115826,0.1913163630859144,94.55233732011732,95.49530024049687,223.85730915565566
2024-11-11 10:41:00,223.6175994873047,223.72000122070312,223.58999633789062,223.6300048828125,67296,223.17886962890626,223.197236328125,,,,223.3062316428092,223.3962186853107,223.28807766896696,62.84932411197679,0.10814101634375106,0.02292082236976311,0.08522019397398795,0.1869104688895696,92.0594439316542,94.41371236684449,223.85617857050656
2024-11-11 10:42:00,223.63999938964844,223.64500427246094,223.42999267578125,223.44500732421875,93000,223.20386962890626,223.19193634033203,,,,223.31944837437203,223.4037246297581,223.2997020878745,55.188751161779535,0.10402254188360871,0.03914116627253223,0.06488137561107649,0.1889289668861129,82.93587024764345,89.84921716647166,223.85360519346952
2024-11-11 10:43:00,223.44500732421875,223.4600067138672,223.29730224609375,223.30499267578125,82292,223.2151191711426,223.18363616943358,,,,223.3180716411729,223.38853509837705,223.300093983275,50.20141376572814,0.08844111510205721,0.04900115603843723,0.03943995906361998,0.1870460221908572,71.8814529495473,82.29225570961499,223.8503719593879
2024-11-11 10:44:00,223.3199005126953,223.3199005126953,223.13999938964844,223.19000244140625,72739,223.21923904418946,223.17423614501953,,,,223.30587457452847,223.35799161268923,223.29193905424768,46.48595767295274,0.06605255844155522,0.05241143651906083,0.013641121922494392,0.18653320241917642,55.693304049536614,70.17020908224247,223.84676667734323
2024-11-11 10:45:00,223.19000244140625,223.19000244140625,223.10000610351562,223.1739959716797,66627,223.2297035217285,223.16831604003906,,,,223.2933147075905,223.32968459099544,223.28320252961302,45.97586930860094,0.04648206138242017,0.0512255614917327,-0.004743500109312529,0.17960673577292485,45.549520232178004,57.70809241042065,223.84317891837446
2024-11-11 10:46:00,223.17999267578125,223.24000549316406,223.11000061035156,223.1300048828125,58579,223.2352035522461,223.16271606445312,,,,223.277761390945,223.29896463589037,223.27185455577595,44.52967387296293,0.027110080114425728,0.04640246521627131,-0.019292385101845583,0.17604897185179116,32.08395394461024,44.44225940877496,223.84007932818332
2024-11-11 10:47:00,223.1199951171875,223.14999389648438,223.0399932861328,223.0998992919922,67758,223.24519882202148,223.15811218261717,,,,223.26082214342568,223.26833919836758,223.25911712882902,43.52074515060436,0.009222069538566302,0.03896638608073031,-0.029744316542164008,0.17131296922559378,21.541241597908044,33.058238591565434,223.83619809592366
2024-11-11 10:48:00,223.08999633789062,223.11000061035156,223.0399932861328,223.09030151367188,45791,223.25696411132813,223.15592010498048,,,,223.24458208344913,223.24094878533745,223.246612268447,43.18481400703358,-0.005663483109543677,0.030040412242675514,-0.03570389535221919,0.1640508484812204,11.12118531623175,21.582126952916685,223.83353990224637
2024-11-11 10:49:00,223.10000610351562,223.1699981689453,223.0399932861328,223.0800018310547,92288,223.2707145690918,223.16212005615233,,,,223.2289077736973,223.21618771544777,223.2342707545661,42.80298770542518,-0.01808303911832354,0.020415721970475705,-0.038498761088799245,0.16161088112834296,8.251169978523034,13.637865630887616,223.82835547902783
